battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1731,0,0.9,1,8,0,22,0.8,177,1,19,394,539,2203,17,6,5,0,1,0,1
674,1,0.9,0,12,0,60,1.0,178,4,17,360,541,2848,5,1,20,0,0,1,2
1676,0,2.2,1,8,0,3,0.3,83,6,10,795,936,985,5,8,5,0,1,0,0
1030,0,1.9,1,18,0,33,0.9,92,6,2,1160,757,2589,7,14,14,0,0,0,2
594,0,1.2,1,14,1,40,0.2,160,4,14,1861,788,3784,5,7,16,0,0,1,3
1067,0,0.9,1,1,1,12,0.3,138,4,1,1475,1725,1304,18,4,7,0,1,0,0
621,1,1.3,1,13,1,48,0.2,164,4,2,1751,813,3070,15,7,14,1,0,1,2
882,0,1.5,1,8,1,62,0.5,147,3,17,756,1339,445,15,4,20,0,0,0,0
852,1,2.0,0,9,0,32,0.8,154,2,8,767,953,2279,11,4,13,1,0,1,1
644,1,2.8,0,6,0,13,0.4,89,3,14,1330,1474,1620,9,13,16,1,1,1,1
806,0,2.4,1,1,0,59,0.3,115,3,7,665,1185,3876,10,16,14,1,1,1,3
1329,1,2.4,0,16,0,46,0.4,187,3,15,71,1194,1770,14,11,18,0,1,1,1
613,1,1.5,0,17,1,36,0.3,146,1,5,156,596,2458,5,3,4,0,1,1,1
1937,1,1.3,1,0,1,64,0.4,166,7,1,1529,507,2840,10,3,11,1,0,1,3
642,0,1.2,0,10,1,54,0.6,95,8,8,1758,1561,779,8,12,14,0,0,1,1
525,1,2.6,1,1,0,18,0.8,94,5,19,548,1454,1645,17,2,12,0,0,1,1
1247,1,1.7,1,2,1,19,0.2,193,2,13,409,1744,3279,10,2,9,0,1,0,2
879,1,0.6,1,5,1,21,0.6,161,3,19,1931,1428,1473,5,16,17,0,0,1,1
1018,1,0.9,0,16,1,47,0.9,97,5,16,1434,1852,1347,13,14,4,1,1,0,1
1737,0,2.8,0,17,1,40,0.5,199,2,5,1459,545,1176,10,6,12,1,1,0,1
1057,0,1.0,1,4,0,36,1.0,99,4,19,1938,1034,3070,6,4,15,1,0,1,3
791,1,1.3,1,19,1,61,0.2,137,7,5,779,783,761,6,4,13,0,1,1,0
1887,0,2.7,0,7,0,20,0.1,190,7,2,730,1286,2332,17,17,10,1,1,0,2
627,1,1.8,1,1,1,55,0.3,181,3,14,435,1931,926,18,13,4,1,1,1,0
1848,1,0.6,0,2,0,32,0.4,176,7,15,953,1133,2021,11,2,18,0,0,0,2
1017,0,2.2,0,5,1,29,0.2,120,4,3,727,1228,3307,15,15,15,1,0,1,2
1672,1,1.7,0,2,0,61,1.0,197,1,20,1796,1701,762,12,7,9,0,1,0,2
1635,1,1.6,1,3,1,55,0.1,171,7,11,1411,834,3390,7,5,3,1,1,1,3
1001,0,2.9,1,10,1,30,0.9,169,6,20,153,1549,1186,9,7,16,1,1,0,0
1638,0,2.5,0,2,0,44,0.7,194,3,10,1616,797,3077,7,17,7,1,1,0,3
1031,1,2.9,1,18,1,36,0.9,148,2,18,1395,1724,425,5,2,11,0,0,0,0
1049,0,1.5,1,13,0,18,0.2,159,3,15,1084,731,2708,11,12,13,1,1,1,2
695,0,2.5,0,16,0,11,0.8,114,6,15,241,500,951,9,8,10,0,0,0,0
858,1,2.9,0,13,0,49,0.6,164,5,14,1177,1872,1351,14,15,5,0,1,0,1
1200,1,2.3,1,12,1,16,0.5,127,1,16,657,1145,1079,18,7,8,0,0,1,0
593,0,1.3,0,16,0,22,0.5,100,8,9,1485,1885,2094,10,10,19,0,1,1,2
1135,1,0.6,1,14,1,45,0.7,161,1,5,1035,917,2910,17,7,19,1,0,0,2
820,0,1.8,0,1,0,23,0.5,165,2,18,393,950,2898,12,13,12,0,0,1,2
1595,0,1.1,0,10,0,63,0.9,172,2,1,32,744,3560,19,1,14,0,1,1,3
631,1,2.7,1,15,1,55,0.6,157,4,18,125,825,1929,7,6,13,1,1,0,1
870,1,1.8,1,7,0,42,0.9,191,2,13,50,1499,1138,14,15,14,0,0,1,0
1380,1,1.1,1,4,0,11,0.8,116,6,6,604,890,2199,13,11,18,0,0,0,1
910,1,0.9,1,0,0,23,0.9,187,2,2,1119,1375,3465,7,14,4,0,0,0,2
1834,0,0.6,0,11,1,63,0.3,183,5,19,1361,1437,617,15,9,2,1,1,1,1
884,1,1.0,1,0,0,4,0.8,182,2,12,524,602,3860,5,6,8,0,1,1,2
829,1,2.5,0,9,0,45,0.4,106,3,14,150,1911,2791,15,4,14,0,1,1,2
684,0,2.8,1,17,0,34,0.7,148,6,15,1331,1326,2867,12,8,18,1,0,1,3
1198,1,1.8,0,12,1,20,0.8,127,8,11,1198,1798,3109,14,11,11,1,1,1,3
936,0,0.7,0,0,1,60,0.1,133,3,17,1240,1423,1684,15,6,18,1,0,0,1
940,0,2.6,1,6,1,51,0.3,117,7,6,893,766,496,15,11,10,1,0,1,0
1242,0,2.4,1,17,0,57,0.7,142,6,1,1608,1993,3566,9,1,6,1,0,1,3
1621,0,2.8,0,10,0,17,0.5,181,7,15,98,1485,593,16,12,13,0,0,0,0
1081,0,1.9,1,5,1,17,0.8,141,1,13,681,698,3074,16,13,3,0,1,1,2
646,1,1.2,0,11,0,22,0.4,128,3,11,1332,608,896,8,4,9,1,0,1,0
565,1,1.5,1,6,0,32,0.2,96,8,6,167,1789,2236,9,16,12,1,1,0,1
1480,1,2.3,1,7,1,8,0.2,134,1,10,1716,530,2315,12,6,13,1,1,1,1
1007,0,1.5,1,3,1,44,0.3,102,8,8,1613,616,1167,5,5,18,0,1,0,1
1153,0,2.7,1,14,1,2,0.8,154,1,4,1935,784,548,16,2,2,1,1,0,0
1988,0,1.9,0,6,0,44,0.8,185,3,7,580,1504,1214,7,0,14,0,0,1,1
1504,1,1.7,1,11,1,63,0.9,155,8,16,195,1696,3655,9,12,3,0,0,0,3
1410,0,1.9,1,1,1,48,0.7,131,5,17,552,983,3982,17,7,17,0,1,0,3
1859,1,1.2,0,7,0,47,0.7,112,7,11,1217,1764,2809,14,11,11,0,0,1,3
1832,0,1.4,0,18,0,26,0.3,160,8,2,945,1649,262,10,11,17,0,0,0,0
716,0,0.5,0,15,0,19,0.9,100,3,16,1834,884,2053,14,0,19,0,1,0,1
1647,1,1.2,0,9,0,55,0.5,125,8,11,317,1751,397,19,12,16,1,1,0,0
705,1,0.7,1,18,1,11,0.1,107,1,15,784,1723,1635,13,6,10,1,0,0,0
1112,0,1.0,1,4,0,60,0.3,192,1,7,1412,810,1771,19,14,15,1,1,0,1
1859,1,0.9,0,12,0,27,0.2,161,3,4,1926,844,691,5,14,9,1,0,1,0
1004,1,2.8,1,6,1,63,0.3,182,2,3,1178,962,1622,11,13,14,1,1,1,1
1521,0,2.0,0,9,1,5,0.8,80,7,16,554,797,2465,7,10,10,0,1,0,2
1656,0,1.1,1,10,0,42,0.6,175,3,9,485,1337,2995,17,8,15,0,1,1,2
1946,1,1.8,1,7,0,27,0.5,184,1,4,949,1671,2623,17,3,2,1,1,0,2
1576,1,2.8,1,5,1,42,0.2,120,8,6,1520,1241,1783,16,17,18,1,0,0,2
1528,0,0.5,1,17,1,2,0.6,135,5,12,704,1722,3908,5,15,18,0,0,1,3
602,0,1.6,0,10,0,8,0.3,116,1,9,967,1123,3426,9,5,5,0,0,1,2
1954,0,2.9,0,13,1,57,0.8,181,7,8,952,1385,3499,16,9,3,1,1,0,3
1200,0,2.4,0,18,0,44,0.9,95,6,13,1655,1929,1762,5,17,9,1,1,0,2
1846,0,0.8,0,15,1,51,0.8,117,8,10,1368,1037,363,7,0,4,0,0,0,0
937,1,0.6,0,2,0,2,0.6,157,3,19,1784,508,2283,6,2,14,1,1,0,1
1820,1,2.5,0,12,0,35,1.0,176,8,0,213,1161,1206,12,10,8,0,1,1,1
1694,0,2.2,0,1,1,61,0.8,171,3,14,276,1442,2875,6,3,11,1,1,0,3
1739,1,1.6,0,6,1,5,0.4,157,4,13,1660,1391,3268,18,2,20,1,0,0,3
1926,1,1.8,1,17,0,29,0.5,87,6,19,716,1684,507,5,0,17,1,1,1,1
1487,0,1.1,1,2,1,35,0.9,184,8,4,1346,1500,1014,11,16,13,0,1,0,1
1139,1,1.8,0,19,1,7,0.1,153,6,13,864,1539,1154,15,2,12,1,0,1,0
1148,0,0.6,0,18,1,14,0.3,117,1,1,490,1446,502,9,5,5,0,1,1,0
622,0,1.7,0,15,1,61,0.6,174,1,6,1345,1184,1101,10,9,7,1,0,0,0
1727,1,1.9,0,6,0,18,0.6,81,4,19,1540,918,2014,10,1,8,1,1,0,2
1997,1,2.3,1,16,0,6,0.7,84,2,2,1382,1129,2985,15,3,11,0,0,1,2
583,0,1.3,0,19,0,62,0.2,140,8,5,1462,1773,755,17,3,16,1,1,1,1
1980,0,3.0,0,4,1,58,0.8,157,1,19,1450,831,996,14,2,4,0,1,0,1
669,1,1.3,0,18,1,25,0.4,136,7,3,1155,1469,2626,17,7,8,0,1,1,2
1186,1,2.6,0,5,1,45,0.6,128,7,14,594,868,1916,9,13,18,1,1,1,2
1403,0,2.9,0,7,1,30,0.3,139,7,1,123,545,2004,6,3,19,0,0,0,1
788,0,1.9,1,17,0,9,0.9,187,2,14,377,550,1585,8,10,14,0,0,1,0
1981,0,3.0,0,11,1,57,0.1,143,7,15,96,1775,2789,13,5,14,1,1,0,3
1044,0,2.9,1,10,0,14,0.8,180,4,9,1625,876,3004,12,2,7,0,1,0,2
1317,1,1.3,1,12,1,58,0.6,86,1,15,1828,1422,3368,7,17,3,0,1,1,3
1500,1,2.9,0,1,1,12,0.4,126,3,1,1287,1491,2623,17,5,17,0,1,1,2
861,0,1.1,1,13,0,18,0.1,144,6,7,1798,929,2917,17,17,4,0,0,1,2
883,0,1.5,1,16,1,62,0.5,150,8,9,814,1080,1098,14,16,13,0,1,1,1
876,1,0.9,0,5,1,46,0.9,137,8,20,60,569,2835,7,9,6,1,1,0,2
1403,1,2.0,0,14,0,29,1.0,98,5,8,609,659,1248,17,12,15,0,0,0,0
1712,0,0.6,1,2,0,25,0.8,156,7,20,129,767,646,10,7,13,1,0,1,0
1500,1,0.5,0,6,1,10,0.7,96,6,0,1669,1674,3014,7,16,11,0,0,1,3
895,1,2.1,1,13,1,48,0.8,148,1,5,1271,526,649,11,0,17,1,1,0,0
1992,1,2.6,1,10,0,31,0.6,165,2,14,617,1708,1043,16,15,5,1,1,1,1
1344,0,2.1,1,4,0,59,0.5,144,5,2,1305,666,427,12,11,9,1,0,1,0
1688,0,2.0,0,15,0,23,0.4,154,7,11,574,1840,376,12,15,5,1,0,1,0
1857,0,1.9,0,16,1,35,0.4,107,7,17,1053,815,2485,6,1,14,0,1,1,3
1991,1,1.4,0,14,0,9,0.7,158,8,18,1047,1718,295,9,0,12,0,0,1,0
1760,0,2.5,0,1,0,42,0.5,104,5,11,1107,1031,1772,17,15,7,0,1,1,2
1785,1,0.5,1,19,1,41,0.4,167,6,17,905,1000,3683,9,8,13,0,0,1,3
1415,0,1.1,1,16,0,39,0.3,189,7,4,454,1597,2853,18,14,12,1,0,0,2
1060,0,2.3,0,1,0,15,0.6,115,6,20,1319,1538,2133,7,9,17,1,1,1,2
1260,0,2.7,0,3,0,59,0.4,188,6,17,1110,1930,782,16,13,11,0,1,0,1
823,1,3.0,1,4,1,39,0.3,94,6,7,1681,1733,1109,15,7,7,1,1,1,1
1922,1,1.2,0,0,0,30,1.0,87,6,0,1451,1481,3121,13,5,16,0,1,1,3
1235,1,1.0,0,0,1,23,0.5,107,8,11,75,1906,2986,5,2,10,0,0,0,2
1213,1,1.8,1,18,0,55,0.4,135,5,18,619,1512,2102,14,14,8,1,0,1,2
1181,1,2.0,1,4,1,64,0.7,154,3,1,614,1213,3051,7,7,17,0,1,0,3
1915,1,1.9,1,0,1,41,0.9,178,7,8,482,1247,3003,16,13,2,1,0,1,3
734,0,2.3,0,3,1,57,0.9,104,6,6,1867,932,1317,9,15,6,1,0,1,1
611,1,1.5,1,10,0,36,0.3,146,5,3,1452,521,2602,13,4,18,1,0,0,1
1499,1,1.5,0,4,0,59,0.9,123,6,5,816,1506,3612,18,17,7,1,1,1,3
1087,1,2.6,0,12,1,46,0.6,87,3,7,1137,1302,1728,5,17,8,0,0,1,1
1980,0,2.5,0,13,0,33,0.7,141,7,1,577,802,1772,10,5,6,1,0,1,2
1782,0,1.0,1,0,0,27,0.1,101,2,3,1324,542,695,7,14,3,1,1,1,0
1607,0,2.9,1,3,1,33,0.7,80,1,14,32,1311,3111,6,14,18,0,0,1,2
1486,0,1.4,0,10,0,39,0.5,122,8,6,378,1925,2337,8,9,16,0,1,0,2
871,1,1.3,1,8,1,26,0.9,104,7,9,1622,1930,641,5,8,7,0,1,1,0
1922,0,1.7,1,13,0,11,0.7,157,8,17,345,829,1474,16,7,10,0,0,0,1
688,0,1.9,1,11,0,15,0.5,83,2,4,548,628,2467,14,7,10,0,0,1,1
710,0,1.3,1,11,0,38,0.7,161,1,5,378,640,3159,10,9,9,0,0,1,2
758,0,2.1,0,11,1,34,0.9,106,5,0,309,1085,1646,9,5,5,0,0,0,0
614,0,1.3,1,2,0,56,0.8,117,1,5,5,889,922,5,1,5,1,1,1,0
1605,0,1.0,0,8,1,23,0.7,94,3,16,597,1470,3572,10,6,7,1,0,1,3
1934,1,0.5,1,5,0,35,0.2,131,6,5,1787,1931,1289,9,0,14,0,0,1,2
1661,0,1.1,1,15,1,22,0.6,114,5,0,1441,1640,1445,16,17,20,1,1,0,1
1983,0,0.7,1,10,1,15,0.1,188,5,17,10,1508,301,14,0,10,1,1,1,0
1517,0,1.5,0,12,0,11,0.8,92,2,8,199,1432,1486,19,1,4,1,0,1,0
1417,1,1.8,1,18,0,3,0.8,141,7,11,1610,1838,2190,19,15,10,1,1,0,2
1039,1,0.6,0,2,1,9,1.0,168,4,15,787,1734,3301,8,13,7,1,0,1,2
709,0,2.2,1,11,1,55,0.9,191,7,8,645,1269,507,14,7,5,0,0,1,0
1904,1,1.4,1,8,1,37,0.4,99,8,5,663,1660,512,19,8,20,1,0,0,0
1931,1,0.8,0,10,0,41,0.8,135,2,15,1094,1318,1571,10,12,12,1,0,0,2
1783,1,0.9,0,2,1,10,0.4,178,4,11,1323,828,305,18,10,6,0,1,1,0
708,1,2.3,1,12,1,12,0.5,131,1,4,340,1343,3561,7,11,9,0,1,1,2
1762,0,2.8,0,6,1,6,0.7,143,6,5,178,1644,3680,16,12,15,0,1,0,3
1684,1,1.2,0,2,0,29,0.5,185,4,5,249,610,2639,12,0,10,0,0,1,2
849,0,1.0,1,13,0,48,1.0,166,4,20,171,1028,3455,10,4,11,1,0,1,3
790,0,1.0,0,4,0,5,0.6,187,2,0,1101,1784,2388,12,16,19,1,0,0,1
1322,0,0.6,1,19,0,54,0.7,86,3,17,1430,1289,3015,7,9,16,0,0,1,3
547,1,1.1,0,9,0,50,0.6,168,5,7,15,1156,1953,19,4,12,0,0,1,1
1926,1,0.6,1,2,0,10,0.4,151,6,4,1809,1906,2059,10,14,15,0,1,0,2
1047,1,0.7,0,10,1,37,0.6,159,2,13,1131,686,1200,8,13,9,1,0,1,0
951,0,2.8,1,15,1,41,0.2,114,4,5,248,1054,3037,18,16,9,1,1,0,2
1183,1,0.9,1,11,0,37,0.3,192,8,6,64,1859,1173,13,7,17,0,0,1,0
975,1,2.6,0,11,1,53,0.4,90,6,19,1829,1777,2421,17,16,9,0,1,0,3
1002,1,2.6,0,17,1,34,0.7,183,2,7,20,1784,1337,14,8,8,1,0,1,0
1070,0,2.8,0,6,1,37,0.4,100,3,10,620,1127,1880,9,17,7,1,1,0,1
1979,1,0.7,0,15,1,4,0.5,199,2,0,1864,1285,3230,18,14,4,0,0,0,3
592,0,0.5,1,5,1,31,0.9,145,1,6,834,1405,1626,19,2,12,0,0,0,0
1799,0,1.0,1,6,0,38,0.2,96,1,17,1760,1805,3305,9,16,10,1,0,0,3
511,1,2.0,0,10,1,46,0.6,160,1,20,1249,621,3177,10,7,5,1,1,1,2
624,0,2.1,0,9,1,47,0.7,172,2,15,493,1124,2501,13,7,13,1,0,0,2
1531,1,2.1,1,4,1,4,0.6,153,2,6,1802,1744,1118,18,9,13,1,1,0,1
1038,1,1.0,1,3,0,24,0.4,180,1,16,17,1361,2720,12,14,20,0,0,0,1
1978,0,0.8,0,14,1,54,0.1,84,4,7,200,697,3421,19,11,16,0,0,0,3
1845,1,1.7,1,14,1,25,0.9,141,7,0,1081,660,1602,13,0,11,0,1,0,1
1035,1,0.9,1,14,1,16,0.7,175,1,4,17,1999,937,6,2,7,0,0,1,0
763,1,0.7,1,9,0,4,1.0,157,6,16,1814,1831,1525,14,5,7,1,0,1,1
1571,1,0.8,1,17,1,43,0.2,182,2,11,836,1161,2069,9,17,13,0,0,0,2
1520,0,2.6,1,9,0,5,0.7,188,3,18,1581,1030,3577,13,15,18,1,1,1,3
858,1,1.5,0,15,0,56,0.9,177,4,4,362,1003,2012,13,16,15,1,0,1,1
974,0,2.4,0,14,0,25,0.9,108,3,17,413,569,1969,10,15,11,1,0,1,1
1476,1,0.6,0,12,1,17,0.6,119,1,19,815,1207,3670,19,16,2,0,1,0,3
1947,0,2.4,1,3,1,61,0.2,123,6,5,154,1000,999,18,2,18,1,0,1,1
1373,1,2.3,0,7,1,44,0.5,165,7,2,211,1736,3014,6,17,12,0,1,0,2
783,0,0.6,1,19,0,18,0.1,177,6,19,1621,1950,1559,18,3,5,0,1,1,1
1492,1,0.6,0,1,0,41,0.5,105,7,2,860,512,1605,10,4,16,0,1,1,1
1785,1,0.5,1,16,1,53,0.2,190,5,15,259,1540,1163,10,7,7,1,1,1,1
548,1,2.4,0,9,0,18,0.4,89,3,0,434,1990,2202,12,8,19,0,1,0,1
912,1,0.5,0,17,1,19,0.5,119,5,12,529,1150,1357,6,16,13,1,0,0,0
1124,1,0.9,1,15,1,6,0.7,121,4,16,94,1539,575,11,4,14,1,0,0,0
513,0,0.5,1,12,0,42,0.4,81,5,9,792,1464,3143,17,16,19,1,0,1,2
820,0,1.7,1,4,1,63,0.3,119,7,12,1802,1169,1357,11,1,9,1,0,1,1
1700,1,0.5,1,4,1,25,0.3,100,6,16,677,1278,1507,15,17,18,0,1,0,1
1902,1,2.4,1,12,0,10,0.9,166,4,19,705,1628,1881,15,5,14,1,1,1,2
1800,0,0.9,1,0,0,48,0.9,174,4,9,400,647,740,15,12,4,1,0,1,0
875,1,2.9,1,9,1,6,0.9,144,8,9,1493,1693,1702,17,15,20,0,1,1,1
1284,0,0.6,1,18,0,37,0.5,132,5,4,632,1296,2174,7,4,3,0,1,1,1
1351,0,1.7,0,2,0,35,0.4,118,1,13,1575,1034,3936,15,17,19,0,1,0,3
669,0,2.6,1,13,0,31,0.8,123,1,13,494,1768,3537,9,2,8,0,1,1,2
1716,1,0.8,0,5,0,52,1.0,179,1,2,1728,1482,3988,6,3,3,1,1,0,3
1169,0,1.8,0,0,0,2,0.7,181,7,15,1651,1452,2710,16,14,18,0,1,0,2
1333,0,1.3,0,3,1,52,0.3,85,3,19,765,1772,3617,14,11,16,1,0,0,3
1870,1,2.8,1,3,1,50,0.5,167,1,6,94,1108,2799,17,16,17,0,0,1,2
947,1,0.8,1,18,1,34,0.3,93,2,16,698,1679,3735,16,1,16,0,0,1,3
993,0,2.5,1,12,0,4,0.3,94,8,5,804,1677,3237,11,1,19,0,0,1,2
1407,1,2.0,1,19,0,42,0.4,126,4,5,426,1727,3393,6,9,10,0,0,1,3
583,1,1.1,0,13,0,7,0.2,83,2,17,1010,844,494,14,5,5,1,0,0,0
735,1,1.5,1,13,1,23,0.6,86,1,1,981,960,2355,6,15,19,0,0,0,1
1020,0,1.5,1,10,0,9,0.3,154,6,6,1537,1753,1150,17,17,20,0,1,1,0
1196,0,1.7,1,4,1,23,0.1,91,7,6,682,1934,1729,6,17,20,1,1,1,1
822,0,1.8,1,13,0,31,0.6,95,6,16,356,1582,1476,8,0,10,1,1,0,1
734,0,2.8,1,16,1,21,0.6,103,7,20,942,1629,265,11,10,11,1,1,0,0
1247,0,1.4,0,7,1,25,0.4,142,2,20,1243,1237,836,14,2,5,1,0,1,0
1975,1,1.4,1,9,1,13,0.9,167,2,4,1085,1314,3458,13,3,17,1,1,0,3
1872,0,0.5,1,19,0,63,0.7,123,3,16,77,582,2383,6,9,17,1,1,0,2
1188,1,1.0,1,7,1,32,0.7,113,5,5,1027,1678,3706,9,9,14,0,1,1,3
1437,0,2.8,1,0,1,62,0.2,140,1,13,980,1950,2860,6,8,11,1,0,1,3
1689,1,1.5,1,8,1,59,0.3,100,2,7,660,1716,1527,17,11,17,1,0,1,1
1401,0,3.0,0,15,1,63,0.6,88,7,17,963,1202,828,15,5,11,0,1,1,1
899,0,0.7,0,17,0,5,0.4,196,2,16,858,1833,3234,9,8,13,1,0,0,2
1651,1,1.3,1,4,0,25,0.4,166,3,6,635,1270,901,12,2,2,0,0,1,0
635,1,2.1,1,5,0,42,0.6,154,1,2,608,1247,1768,15,1,20,1,0,0,0
514,1,2.3,1,2,0,32,0.1,102,8,2,1651,831,3116,5,0,16,0,1,1,2
1026,0,1.2,0,11,1,51,0.6,138,5,17,1922,1475,1471,8,6,16,0,1,1,2
589,1,2.1,0,5,1,25,0.6,152,8,18,421,1215,530,15,15,12,0,1,1,0
1440,1,2.5,1,1,0,26,0.7,106,3,3,700,1993,417,10,12,3,1,1,1,0
1366,0,2.8,0,3,0,16,0.9,160,7,16,988,1371,3078,13,13,7,0,1,0,3
1744,0,1.6,0,13,0,49,0.9,128,2,7,558,1012,1088,9,13,17,1,0,0,1
884,1,2.2,0,1,0,23,0.8,93,5,7,705,1185,547,12,11,4,1,0,0,0
1520,0,0.8,0,5,1,49,0.2,195,1,10,1158,1421,814,18,12,17,1,0,1,0
819,1,1.7,1,15,0,45,0.5,158,2,20,1448,1102,1119,8,13,3,0,0,1,1
839,1,1.5,1,14,0,19,0.7,140,7,12,407,1241,999,7,14,11,1,0,0,0
1952,0,1.5,0,8,0,9,1.0,95,7,14,758,1176,650,11,17,18,1,0,1,0
1090,1,0.8,1,16,1,2,0.9,166,5,18,840,1919,3480,8,0,18,0,1,0,3
1232,0,1.3,1,14,1,32,0.3,80,2,8,985,669,3623,19,10,16,1,0,1,3
1162,1,1.5,1,17,0,59,0.2,169,5,19,597,842,1632,17,15,20,1,0,0,1
1114,1,1.9,1,7,1,54,0.8,158,2,5,1904,1051,2420,14,13,4,1,0,1,2
867,0,2.7,0,16,1,43,0.3,183,3,0,1236,974,369,19,16,4,1,0,1,0
1720,1,1.6,0,0,1,49,1.0,135,3,19,1745,1071,448,12,16,8,1,0,0,1
845,1,2.7,1,3,0,54,0.8,147,7,15,264,1370,1470,15,11,5,1,0,1,1
1771,1,2.0,1,13,1,23,0.7,88,4,11,1445,1693,1739,5,0,10,1,1,1,2
1039,0,2.0,0,6,0,37,0.9,119,8,20,1223,1756,3478,15,16,18,1,1,1,3
1119,1,1.1,1,11,0,36,1.0,126,3,17,1516,587,3943,14,3,6,0,1,1,3
631,1,1.1,1,10,1,2,0.2,151,8,10,108,1918,747,8,1,11,0,1,1,0
1989,0,1.7,1,2,1,20,0.6,118,6,0,1209,984,1915,17,17,3,0,1,0,2
1394,1,1.6,1,18,0,6,0.6,187,6,12,1748,1777,2984,8,15,18,0,1,0,3
1148,1,1.6,0,14,0,35,0.8,122,1,1,1483,1835,591,8,7,10,1,0,0,0
1058,0,2.7,1,4,0,43,0.3,90,5,2,1805,1030,3671,13,17,4,1,1,0,3
